,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name,Returns,Variance,clusters,sharpe
LHX,447.0,260.0,264.0,BBB,B,B,"L3Harris Technologies, Inc.",0.1428961683533051,0.25956116651232375,1.0,0.5505298434021351
SRE,665.0,313.0,365.0,AA,BB,BB,Sempra Energy,0.15793870128187884,0.22906227138073038,1.0,0.6895011576103898
SNPS,570.0,305.0,310.0,A,BB,BB,"Synopsys, Inc.",0.38093941347916455,0.34388799377039475,0.0,1.10774269640105
FTNT,590.0,300.0,303.0,A,BB,BB,"Fortinet, Inc.",0.6027542094055569,0.4431855819435385,4.0,1.360049229855919
STZ,411.0,280.0,301.0,BBB,BB,B,"Constellation Brands, Inc.",0.2340577698485817,0.2435194708900195,0.0,0.961146018399034
MPC,482.0,300.0,450.0,BBB,BBB,BB,Marathon Petroleum Corporation,0.6034748817294944,0.43212530925102544,4.0,1.3965275090585598
IQV,398.0,326.0,302.0,BB,BB,BB,IQVIA Holdings Inc.,0.28022908350555914,0.26897189299108815,0.0,1.0418526649356779
CNC,528.0,310.0,308.0,A,BB,BB,Centene Corporation,0.15434907617456745,0.32726317507775193,1.0,0.4716359429621033
DOW,200.0,200.0,204.0,B,B,B,Dow Inc.,0.40863882238848526,0.3401055363416397,4.0,1.201505940726596
ROP,570.0,340.0,330.0,A,BB,BB,"Roper Technologies, Inc.",0.1859332521648554,0.2229829657674506,0.0,0.8338450945116838
TEL,200.0,200.0,200.0,B,B,B,TE Connectivity Ltd.,0.3354769848848705,0.2874900308360875,0.0,1.166916932421016
APH,518.0,485.0,302.0,A,BB,BBB,Amphenol Corporation,0.041071699415535914,0.42551005806827763,1.0,0.09652345141262329
AEP,500.0,300.0,300.0,A,BB,BB,Anglo-Eastern Plantations Plc,0.10838890960667415,0.19806718641836982,1.0,0.5472330453451707
KMB,525.0,315.0,362.0,A,BB,BB,Kimberly-Clark Corporation,0.03026172818620008,0.1945668124115257,1.0,0.15553386423473853
AIG,540.0,300.0,305.0,A,BB,BB,"American International Group, Inc.",0.5228620961247739,0.39281845436777557,4.0,1.331052781026538
SPG,260.0,215.0,270.0,B,B,B,"Simon Property Group, Inc.",0.43468769874923296,0.4970589839407174,4.0,0.8745193483940263
DG,270.0,200.0,248.0,B,B,B,Dollar General Corporation,0.17800052071350772,0.22757831102800133,0.0,0.7821506360138443
BK,500.0,300.0,300.0,A,BB,BB,The Bank of New York Mellon Corporation,0.13411011262680725,0.3151959171740097,1.0,0.425481756963144
NEM,403.0,305.0,343.0,BBB,BB,BB,Newmont Corporation,0.12649289389949525,0.32140825461231104,1.0,0.39355832367178456
HUM,235.0,240.0,305.0,B,BB,B,Humana Inc.,0.12278494883216678,0.2825124086129767,1.0,0.4346178967323663
JCI,500.0,290.0,300.0,A,BB,B,Johnson Controls International plc,0.4068791754881036,0.26305584350088324,0.0,1.5467406846893992
PXD,513.0,340.0,413.0,A,BBB,BB,Pioneer Natural Resources Company,0.6104780783435108,0.4344735614117645,4.0,1.4050983363863219
