,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name,Returns,Variance,clusters,sharpe
WRB,360.0,300.0,294.0,BB,B,BB,W. R. Berkley Corporation,0.2006690691835069,0.35585169744674483,0.0,0.5639120752361682
AES,505.0,350.0,309.0,A,BB,BB,The AES Corporation,0.2912162966642226,0.3382122520780564,0.0,0.8610459700230271
L,505.0,305.0,301.0,A,BB,BB,Loews Corporation,0.3870714028996205,0.2986415572393345,0.0,1.296106966752177
MAS,507.0,305.0,302.0,A,BB,BB,Masco Corporation,0.17423334405765398,0.2601225280706561,0.0,0.6698125892822617
FDS,633.0,311.0,332.0,AA,BB,BB,FactSet Research Systems Inc.,0.23720103576791213,0.26136583335942676,0.0,0.9075441603023777
OMC,553.0,310.0,330.0,A,BB,BB,Omnicom Group Inc.,0.225685665461724,0.3368349241799573,0.0,0.6700186033593989
BEN,326.0,305.0,350.0,BB,BB,BB,"Franklin Resources, Inc.",0.22331105961119227,0.3894530759251211,0.0,0.5733965743645265
CRL,510.0,245.0,322.0,A,BB,B,"Charles River Laboratories International, Inc.",0.33651763974586407,0.33623851628400914,0.0,1.000830135300797
EMN,588.0,315.0,389.0,A,BB,BB,Eastman Chemical Company,0.31460681768319787,0.31619771657317214,0.0,0.9949686578789505
AVY,540.0,325.0,347.0,A,BB,BB,Avery Dennison Corporation,0.3033540069579546,0.2834411305635593,0.0,1.0702540113172814
WAB,616.0,310.0,330.0,AA,BB,BB,Wabtec Corporation,0.3285711871329494,0.34698977905479794,0.0,0.9469189208626811
J,200.0,210.0,202.0,B,B,B,JAS Asset Public Company Limited,0.307415177942189,0.27615300430165773,0.0,1.113205987816746
CTLT,468.0,305.0,301.0,BBB,BB,BB,"Catalent, Inc.",0.21177689994903995,0.33853013017316197,0.0,0.62557769921606
UDR,220.0,230.0,304.0,B,BB,B,"UDR, Inc.",0.2306330693074733,0.29136585502626644,0.0,0.7915583289149715
HOLX,520.0,300.0,338.0,A,BB,BB,"Hologic, Inc.",0.2291617392580188,0.3011968931469621,0.0,0.7608369955735388
CNP,550.0,260.0,310.0,A,BB,B,"CenterPoint Energy, Inc.",0.35044128608273434,0.26853076971759626,0.0,1.3050321438071335
BXP,552.0,305.0,351.0,A,BB,BB,"Boston Properties, Inc.",0.19984476266467202,0.3612528432628305,0.0,0.5531991412432272
CE,500.0,300.0,251.0,A,B,BB,Credito Emiliano,0.3665179819259394,0.30814514656036157,0.0,1.1894329215214277
BRO,295.0,300.0,303.0,B,BB,BB,"Brown & Brown, Inc.",0.305826454685185,0.2317457230214961,0.0,1.319663856997341
