,Returns,Variance,clusters,sharpe
RL,0.2877855993347297,0.4510245448026113,0,0.6380708159922376
PNW,0.0120975194519265,0.2410601989403255,1,0.05018464062133
AIZ,0.3346774483581289,0.2632236978463183,0,1.2714563737856477
ANET,0.0839096771929054,0.6494733313806152,1,0.1291964937413746
LW,0.1439740805039416,0.3889520688133334,1,0.3701589271480078
NRG,0.1033401338971109,0.3449589814888814,1,0.299572237403657
WYNN,0.0788161733828331,0.5461122304782826,1,0.1443223004066514
FRT,0.2847320290494982,0.4067815042489557,0,0.6999630663522952
NWL,0.3772935105088955,0.3557177779573123,4,1.0606540743492794
SEE,0.4738671971779421,0.2927590968408181,4,1.6186250138474705
IVZ,0.5120963288607011,0.4482955413390844,4,1.1423185859289169
PNR,0.2338306339407362,0.2821705683690617,0,0.828685412841853
TPR,0.5152833307801725,0.4750244542418627,4,1.0847511663427156
GL,0.1545026645235245,0.2932976471963381,1,0.5267777154042359
MHK,0.3672881916427671,0.4740940628203546,4,0.7747158643113851
JNPR,0.2284270184247574,0.2747089716242367,0,0.8315236924158906
CDAY,0.0721823138239233,0.4316597778479228,1,0.1672203840343766
BWA,0.2228637274725607,0.3669584067103245,0,0.6073269433189155
ZION,0.4119277555206524,0.4632590694437372,4,0.889195231547822
UHS,0.1719005483890631,0.3504392351068406,1,0.4905288311585739
ALLE,0.133839344818552,0.2827827314085312,1,0.4732939106709337
NI,0.1135686265710228,0.2225966892605328,1,0.5101990822428596
SNA,0.3250993321280914,0.2975017772937907,0,1.0927643360162091
SEDG,0.6555519793866832,0.6762426696759509,3,0.9694034534981614
RE,0.3045184616446232,0.2905819287498722,0,1.047960769462534
DVA,0.2260559860322644,0.2895070913740675,0,0.7808305660471062
XRAY,0.0651673293879511,0.3472170214338184,1,0.187684719829821
WRK,0.3290166709635634,0.4048331834418651,0,0.8127215960072377
JKHY,0.113436475643875,0.2618632448439414,1,0.4331897579268065
HST,0.4096361358398553,0.4705134042997862,4,0.8706152302918386
REG,0.3509909046061516,0.4181119075894274,4,0.839466416131859
APA,0.8311100952244275,0.6647466401677838,3,1.250265958493078
CMA,0.5766017322328157,0.4656127543644052,4,1.2383718590782986
WHR,0.3262630714945392,0.3345613329969552,0,0.9751965912256468
AOS,0.2102721404570338,0.2982922872655604,0,0.7049198032728048
HAS,0.1696887249106607,0.3096880854869467,1,0.547934301843889
CBOE,0.1281946708808661,0.2771964556345747,1,0.4624686509334877
FBHS,0.2218256585636779,0.3321661092421817,0,0.6678154465239113
RHI,0.4578198724047349,0.3390570714276448,4,1.3502737768512645
LNC,0.4381426826416008,0.5197587702805979,4,0.8429731400300648
FFIV,0.158439965007637,0.3209889922526723,1,0.4935993720398927
LDOS,0.060171211440033,0.2719987680708431,1,0.2212186910506934
NWSA,0.4139960708835277,0.3207132859063061,4,1.290860369920794
NWS,0.4027225292963665,0.3250327637740979,4,1.2390213362498557
MKTX,-0.2169108032168481,0.3426661033494754,1,-0.6330092212115505
ABMD,0.305970672620212,0.3873075761511446,0,0.7899940291919534
IRM,0.4760679576420724,0.312043140144389,4,1.525647887730477
PHM,0.294058839906191,0.4003857756359118,0,0.7344387782986365
PTC,0.3444276192497078,0.3967505177133428,4,0.8681214109934974
HWM,0.6302892609820095,0.4572541235762045,4,1.3784222568677778
UAL,0.5496206624861779,0.6429235864155464,4,0.85487711774652
IPG,0.426587527278962,0.3609282787176673,4,1.1819177172666375
CPB,-0.0088449483383249,0.2341507305161204,1,-0.037774592113502
CHRW,0.2487708128312827,0.2793992579250678,0,0.8903775002079664
PKG,0.2965085859139343,0.2657058872053378,0,1.115927799088592
FMC,0.2352154470043048,0.2792906526709844,0,0.842188754814498
PWR,0.6683062933624702,0.3542161362425197,4,1.886718940734263
TFX,-0.0210068984889035,0.2995302364824223,1,-0.0701328144216797
TECH,0.2990466931969383,0.3525436837382495,0,0.8482542929884662
ATO,0.0824557358037261,0.2148490078504299,1,0.3837845779633707
AAP,0.2935829435079167,0.2772798216822216,0,1.0587966398953452
QRVO,0.1796312688226181,0.4106396364802799,1,0.4374425965362078
ROL,-0.0233375151875941,0.3627002450275977,1,-0.0643438087168052
WRB,0.2006690691835069,0.3558516974467448,0,0.5639120752361682
KIM,0.5503179435565809,0.4653087717451745,4,1.182694109746896
EVRG,0.1159406019581004,0.2234517278266288,1,0.5188619622044551
LNT,0.1287498970685678,0.2072884591388268,1,0.6211146419026657
CF,0.7433763344409944,0.4201921197352399,3,1.7691344019240305
TXT,0.5733751552405059,0.3866931263002169,4,1.4827653150352476
AES,0.2912162966642226,0.3382122520780564,0,0.8610459700230271
NLOK,0.1410535236696598,0.3325932491675895,1,0.4241021849441831
CAH,0.1533875475715978,0.3070602960761742,1,0.4995355945776398
L,0.3870714028996205,0.2986415572393345,0,1.296106966752177
MOS,1.001670536596154,0.5068605500158694,3,1.976225091033012
MAS,0.1742333440576539,0.2601225280706561,0,0.6698125892822617
CZR,1.6063771258996562,1.5826608293063589,2,1.014985078390859
SJM,0.1132077710043328,0.2259723396024988,1,0.5009806563204734
FDS,0.2372010357679121,0.2613658333594267,0,0.9075441603023776
MRO,0.9150619406385072,0.6123437872942826,3,1.4943598018391309
OMC,0.225685665461724,0.3368349241799573,0,0.6700186033593989
LKQ,0.4155624348514578,0.3555955315918067,4,1.1686379550136978
DPZ,0.0089419132432294,0.2818359293748125,1,0.0317273715351517
BEN,0.2233110596111922,0.3894530759251211,0,0.5733965743645265
CRL,0.336517639745864,0.3362385162840091,0,1.000830135300797
IEX,0.1442749900887351,0.2372038086943891,1,0.608232181780089
EMN,0.3146068176831978,0.3161977165731721,0,0.9949686578789504
ENPH,0.9278002863842124,0.7420634437821368,3,1.2502977934816664
GNRC,0.5310912472140775,0.4659200719131955,4,1.1398762990254343
AVY,0.3033540069579546,0.2834411305635593,0,1.0702540113172814
WAB,0.3285711871329494,0.3469897790547979,0,0.9469189208626811
J,0.307415177942189,0.2761530043016577,0,1.113205987816746
DGX,0.1403088195906958,0.2414501815200261,1,0.5811087765906631
CTLT,0.2117768999490399,0.3385301301731619,0,0.62557769921606
MPWR,0.467893562876045,0.4537505003051575,4,1.0311692495355398
TRMB,0.4263132221338884,0.3454507935975986,4,1.234077993262575
UDR,0.2306330693074733,0.2913658550262664,0,0.7915583289149715
BIO,0.1337866338396586,0.3176607670567286,1,0.4211619680933613
CAG,0.0474480823526293,0.2242567692001155,1,0.2115792647948525
KMX,0.1579732144331377,0.3667948034203281,1,0.4306855303293608
CTRA,1.5001531508742445,0.9178297877175272,2,1.6344568142692857
HOLX,0.2291617392580188,0.3011968931469621,0,0.7608369955735388
CNP,0.3504412860827343,0.2685307697175962,0,1.3050321438071335
BXP,0.199844762664672,0.3612528432628305,0,0.5531991412432272
DRI,0.3916040450899744,0.3990577354571684,4,0.9813217745080048
CE,0.3665179819259394,0.3081451465603615,0,1.1894329215214277
BRO,0.305826454685185,0.2317457230214961,0,1.319663856997341
BR,0.1434818374185051,0.2237096709913984,1,0.6413752109269427
NVR,0.231983475854116,0.3257164425291391,0,0.7122252535143735
ETSY,0.3611283908670366,0.6329470798555036,4,0.5705506864009533
TYL,0.1629741417272337,0.3129541937968193,1,0.5207603699122888
IP,0.2082041769415784,0.2966777822580742,0,0.7017855376863565
SBNY,0.5556352895072076,0.5007939053033666,4,1.1095088890321452
PAYC,0.1550303590841344,0.4284262316019016,1,0.3618601001728354
POOL,0.3716553442805874,0.3232668953196752,0,1.1496857539744718
XYL,0.1216893378616306,0.2859932577419281,1,0.4254972261319512
FLT,0.0917537228971643,0.3326333097407489,1,0.2758404531665102
TTWO,0.0373029073000869,0.3432373652800684,1,0.1086796225394901
TER,0.4016664651584511,0.4568046826572744,4,0.8792958575247537
CINF,0.4200715933338993,0.3532157806923776,4,1.1892775359879737
CMS,0.1149292149243769,0.1948523748641284,1,0.5898271191434933
GPC,0.3084989372460188,0.2696790267514877,0,1.1439485708701556
PEAK,0.1757080479351934,0.2894047157276992,0,0.6071360913846239
TDY,0.191386049869617,0.2758261713481468,0,0.6938647226047678
WAT,0.2978984530537176,0.2751023361737753,0,1.082864134114596
EXPD,0.1911157689590051,0.2298634654063912,0,0.8314316875938444
MGM,0.645190943379391,0.5179455096100328,4,1.2456733988584296
PFG,0.4032696903733248,0.3709037324967976,4,1.087262421595627
RCL,0.5192059179889615,0.6461595045947277,4,0.8035259317505642
JBHT,0.3081206688348389,0.2866284124909525,0,1.07498299333659
COO,0.1494303215754486,0.2625004390085848,1,0.5692574158725947
CLX,-0.1276809352900157,0.269189410439117,1,-0.4743163376365192
VTR,0.3818913301225047,0.3894391784229719,4,0.9806186723918427
HPE,0.3124534461624647,0.3554012156760117,0,0.8791569425786694
PKI,0.310245653754599,0.309994167609964,0,1.000811260891048
ESS,0.1946427200413441,0.2863123757034587,0,0.6798264293085982
RJF,0.3117650644234413,0.4033928810123771,0,0.7728571303514788
DRE,0.2834044134440641,0.2285473589746651,0,1.2400248890011454
CCL,0.3482909767586563,0.7268422919691857,4,0.479183697215877
STE,0.2687074899789851,0.2482116916363749,0,1.0825738634932478
MTB,0.3261667088689056,0.4331602203055752,4,0.7529932195500536
HBAN,0.3123915475005833,0.4242734428302142,0,0.736297670239983
RF,0.4484709194008101,0.4274832900705198,4,1.04909578881277
CFG,0.4073736358857066,0.4407267704543215,4,0.9243224219526466
ETR,0.1369856550167938,0.23123816311027,1,0.5924007230219597
AEE,0.1515254214827752,0.1982522272221079,1,0.7643062759290804
K,0.0564911912699885,0.1990376963191915,1,0.2838215690529052
IR,0.2917555105269916,0.3288535270578371,0,0.8871898475204103
FE,0.0733683588904665,0.3017774323528591,1,0.2431207606163178
MAA,0.31802953033896,0.2351631049660264,0,1.3523785135636186
PPL,0.0917573662992877,0.2388681254794924,1,0.384133990732746
IT,0.5176225704770187,0.3424661498479364,4,1.511456156197791
LYV,0.5683425936424076,0.4658523252688389,4,1.220005917786119
GRMN,0.1913081915415704,0.2477998692869221,0,0.7720270074882838
VRSN,-0.0457499904007893,0.2528674838345123,1,-0.1809247662334086
BBY,0.1605488574616055,0.3601411279495442,1,0.4457942872997788
URI,0.5862977369362629,0.4133908568586283,4,1.418264887113276
DTE,0.1592704756345661,0.2334655504721527,1,0.6822011869094305
KEY,0.3856351513115241,0.425155953825964,4,0.9070439866623212
MLM,0.3667339511169216,0.3340858006095,0,1.0977238495256574
FANG,0.7361968696474959,0.6243028807083838,3,1.1792302941356738
EIX,0.1299256088618263,0.2432397091618655,1,0.5341463748230617
HIG,0.4015642693471728,0.349040866233536,4,1.1504792366590522
NTRS,0.2129707043218092,0.3268982831761441,0,0.6514892101989205
ALB,0.7310652616838165,0.4882828026473612,3,1.4972168950455405
CHD,0.1739878136164896,0.204658358715227,0,0.8501378331611947
DOV,0.2244227437145546,0.2479807252350336,0,0.905000755610538
SYF,0.4356314539449812,0.4208631755223891,4,1.0350904504872902
VMC,0.2695925433223998,0.3234392612491844,0,0.8335183004103516
DAL,0.4511340194300769,0.5075487236850785,4,0.8888486925050263
EPAM,0.3005962701270159,0.5952156184945612,4,0.5050208038681744
FTV,0.0119759933877594,0.2867577110083392,1,0.0417634571905588
CDW,0.2507851890710879,0.2985601719429107,0,0.8399820627080892
GWW,0.3353427468692728,0.2443125408468149,0,1.3725973529927562
ZBRA,0.2961481077564065,0.3332251078575547,0,0.8887328738835679
ZBH,0.0763185395402634,0.3097801946887552,1,0.2463635211313066
LUV,0.3545953079938544,0.4258543394615323,4,0.8326680630804872
HRL,0.08054937792653,0.201441724184203,1,0.3998644186190235
LH,0.243779659862133,0.2532302374062793,0,0.9626799009433304
EXR,0.4383480306782155,0.2685454603780969,0,1.6323047504174757
MKC,-0.108115170257377,0.407038609927792,1,-0.2656140415685786
OKE,0.4851889421420682,0.4388988869546115,4,1.105468609202109
VFC,0.0320566763297315,0.3658152948225334,1,0.087630771002298
ANSS,0.0879226207010939,0.334577463391626,1,0.2627870383432842
TWTR,0.4095175625429979,0.5166609109711386,4,0.7926234670496954
O,0.1871194048342547,0.2407437048454374,0,0.7772556501711615
EFX,0.2301031162509227,0.3126522525820462,0,0.7359714006555542
HAL,0.7806062131857745,0.5390291706534031,3,1.4481706291322516
NUE,0.7521813780251958,0.4131265234076122,3,1.8207046398787
HES,0.5206537810219439,0.4903696585578734,4,1.061757741196984
LEN,0.3060940418211342,0.4182607902943177,0,0.7318258104130319
SWK,0.1209760730392392,0.3108067383762201,1,0.3892324653939842
ABC,0.3113967845964882,0.2462296756730407,0,1.2646598495706118
FRC,0.253004453569966,0.3070324203362238,0,0.8240317204707793
BKR,0.5013986133629814,0.4507492364315796,4,1.112367083153318
AWK,0.143184188155189,0.2177791992429623,1,0.657474123575262
WY,0.4773611035321976,0.3318731080435608,4,1.4383844064567608
WST,0.3010551767388585,0.2916401982133241,0,1.0322828560096082
ARE,0.122758367589564,0.2182008618785053,1,0.5625934129348956
NDAQ,0.2229705474372998,0.2241592027194589,0,0.9946972719935718
CPRT,0.2272636621819364,0.2765528941920915,0,0.821772857759647
ED,0.1131199973589957,0.2007395847949889,1,0.5635161469249962
ES,0.0627240625718449,0.2161226488122364,1,0.2902243837772807
KEYS,0.2431932176444503,0.2808518142416427,0,0.8659129309921735
DHI,0.2826740485867838,0.3906281306618397,0,0.7236397647753895
WEC,0.0787741085879403,0.1990753785414865,1,0.3956999060610808
MTCH,0.1275432635972638,0.4817222988178109,1,0.2647651227901766
FITB,0.4648828753396279,0.4156250907632628,4,1.1185149445282696
BLL,0.1348825514545307,0.253934158117544,1,0.53117135738822
AME,0.2562625162999355,0.2238854801579969,0,1.1446142738648792
AJG,0.3972674589254601,0.2189187610262505,0,1.814679824895518
SIVB,0.591886858141997,0.4427802583647813,4,1.3367507854299487
LYB,0.4113616261983858,0.3896620264445902,4,1.0556882587502563
CBRE,0.442608885023876,0.371459947696473,4,1.1915386511213857
CMI,0.1397442729759507,0.2699856120296389,1,0.5175989636092521
MTD,0.3453630160696264,0.2705004961429955,0,1.276755573442853
LVS,-0.0151243488125087,0.4711179861194347,1,-0.0321031021063044
EQR,0.1765481786585331,0.2962562450502543,0,0.5959306566806213
RMD,0.1732869880392972,0.2966588063699044,1,0.5841289195481537
TSN,0.3009237414298658,0.2816981371829837,0,1.0682489576932974
TDG,0.3407162503907676,0.3580928398559039,0,0.95147462464726
ODFL,0.3614939229253089,0.2873209544398972,0,1.258153703512521
PEG,0.2009991307208369,0.22767661075095,0,0.88282731396026
AVB,0.2167338461652599,0.2630532348345134,0,0.8239162932233358
DFS,0.5977597710503528,0.4381605914364989,4,1.364248138087024
ROK,0.1810139326878531,0.2546769102109467,0,0.7107591046943394
KR,0.3018294139774443,0.3100092525477072,0,0.9736142115016256
VLO,0.4024958903184141,0.5008739960314558,4,0.8035871167349177
IFF,0.0148694155260874,0.2901089729894027,1,0.0512545867605088
TROW,0.0991487719097116,0.2843754880345749,1,0.3486544237513781
AMP,0.484437613999005,0.3346299213784965,4,1.4476817016343928
STT,0.1402082701416348,0.3784883184625022,1,0.3704427938785265
CTVA,0.4595921904594811,0.309416493266738,4,1.4853512998199534
ALL,0.1452471775961384,0.2392731337512102,1,0.607035045343463
GLW,0.3190600000590944,0.3010715191228514,0,1.0597481986627333
OXY,0.8865029703212658,0.7202617892080564,3,1.2308066089358916
DVN,0.9922978588843018,0.593605196212157,3,1.671646180350568
YUM,0.194361677170668,0.2122237955982337,0,0.915833573811954
WMB,0.3365202996993031,0.294916852394934,0,1.1410683959445505
APTV,0.3348615561786562,0.4029304267845844,4,0.8310654493155979
ALGN,0.2889259909775493,0.5162133526145192,4,0.5597026685074998
WELL,0.3864141457869946,0.3763934661418087,4,1.026622884153389
PPG,0.2331589440608534,0.2768857238993715,0,0.8420764378072102
XEL,0.1006570762838682,0.2003846602045417,1,0.5023192702531373
DXCM,0.1676247287927226,0.432803576385697,1,0.3872997774014285
PSX,0.1786492184164185,0.4394950179775537,1,0.4064874710947069
MSI,0.2420677454811204,0.2600859830236691,0,0.930721996883204
CMG,0.308045551022204,0.3254938535078016,0,0.9463943718212814
HPQ,0.5203175531555291,0.3707628033808018,4,1.403370425541645
HLT,0.4510766969693063,0.3505894167419586,4,1.286623826700703
CDNS,0.3940584217712163,0.3472888815655606,4,1.13467042191164
MCK,0.4473595567085325,0.2571363237576808,0,1.7397758129657073
KMI,0.1492395807229593,0.2891579809175422,1,0.5161177991677748
CTAS,0.3608749179995742,0.2845102791827936,0,1.268407310400611
RSG,0.2967639890749673,0.1937791638359821,0,1.531454585727046
SYY,0.2959221136754164,0.3592200723522293,0,0.8237905853580844
AZO,0.3610850002764439,0.2417594106608776,0,1.4935716433514457
MCHP,0.0635053828105974,0.537696219218141,1,0.1181064335972828
PH,0.3234390035017022,0.3125062481345184,0,1.0349841177014734
A,0.2649817905642573,0.2408556751999021,0,1.100168349134108
CARR,0.4811879820690523,0.3344806456302787,4,1.4386123333454033
IDXX,0.2800431971779386,0.324160520186705,0,0.863902849787641
DD,0.2438047862110318,0.3129791101966359,0,0.7789810190777786
TT,0.2889141215743356,0.2819076948048996,0,1.0248536201691298
HSY,0.2876563240143729,0.1747515175491184,0,1.6460877024059013
MSCI,0.1895480975940969,0.3275322079192661,0,0.5787159033862677
TRV,0.3196931370430579,0.2620780182449476,0,1.2198395698500022
GPN,-0.0292805617502473,0.3349623460051384,1,-0.0874144873280718
AFL,0.2744247625681477,0.2752031093891427,0,0.9971717368211332
DLR,0.0340621662464366,0.2559167432121154,1,0.1330986234777314
GIS,0.1054285764990563,0.2026155637753006,1,0.5203379964234927
ADM,0.5063795895961433,0.2484465666686615,4,2.0381830845401527
PRU,0.3712664051285861,0.3596713286094342,4,1.0322379783898286
BAX,-0.0801686205078577,0.2137405367259362,1,-0.3750744792535639
LHX,0.1428961683533051,0.2595611665123237,1,0.5505298434021351
SRE,0.1579387012818788,0.2290622713807303,1,0.6895011576103898
SNPS,0.3809394134791645,0.3438879937703947,0,1.10774269640105
FTNT,0.6027542094055569,0.4431855819435385,4,1.360049229855919
STZ,0.2340577698485817,0.2435194708900195,0,0.961146018399034
MPC,0.6034748817294944,0.4321253092510254,4,1.3965275090585598
IQV,0.2802290835055591,0.2689718929910881,0,1.041852664935678
CNC,0.1543490761745674,0.3272631750777519,1,0.4716359429621033
DOW,0.4086388223884852,0.3401055363416397,4,1.201505940726596
ROP,0.1859332521648554,0.2229829657674506,0,0.8338450945116838
TEL,0.3354769848848705,0.2874900308360875,0,1.166916932421016
APH,0.0410716994155359,0.4255100580682776,1,0.0965234514126232
AEP,0.1083889096066741,0.1980671864183698,1,0.5472330453451707
KMB,0.0302617281862,0.1945668124115257,1,0.1555338642347385
AIG,0.5228620961247739,0.3928184543677755,4,1.331052781026538
SPG,0.4346876987492329,0.4970589839407174,4,0.8745193483940263
DG,0.1780005207135077,0.2275783110280013,0,0.7821506360138443
BK,0.1341101126268072,0.3151959171740097,1,0.425481756963144
NEM,0.1264928938994952,0.321408254612311,1,0.3935583236717845
HUM,0.1227849488321667,0.2825124086129767,1,0.4346178967323663
JCI,0.4068791754881036,0.2630558435008832,0,1.5467406846893992
PXD,0.6104780783435108,0.4344735614117645,4,1.405098336386322
ECL,-0.0252388185003866,0.2694419928527635,1,-0.0936706941377857
EMR,0.2929377523478341,0.2767889037094077,0,1.0583435550414282
FCX,0.8973468879591354,0.4980440571138501,3,1.8017419847537843
SLB,0.5633867288262339,0.498949491619149,4,1.1291458119297375
KLAC,0.4630925712653239,0.4249997005473204,4,1.0896303471954143
EXC,0.1853432735367788,0.2920303796563591,0,0.6346712069986619
MET,0.3803112864459911,0.324005358476994,0,1.1737808542231103
AON,0.2739477353522718,0.2508093268766839,0,1.0922549761754454
GD,0.3483452125530848,0.2333979762363484,0,1.492494571591041
NOC,0.1868011862208727,0.2511543351512943,0,0.7437705031384169
MRNA,0.8407985950927879,0.8395716039258996,3,1.0014614491023168
COF,0.4368843946950714,0.407824701442997,4,1.0712553534625369
MCO,0.1576601939810188,0.2444516748513681,1,0.6449544437643131
PSA,0.3871471341854987,0.2289477848315499,0,1.6909844070793048
APD,0.0547791713552384,0.2491651931628795,1,0.2198508172826098
WM,0.2713400720612153,0.1967448994750905,0,1.3791466654797273
EQIX,0.0675562631984781,0.2702352354741197,1,0.2499905797996797
BSX,0.1209548114292005,0.2821865412084399,1,0.4286342322040655
ETN,0.3382164506423789,0.2652717681367966,0,1.2749809488507868
PGR,0.2019846927857984,0.2344066050014324,0,0.8616851593604372
D,0.0585043921435778,0.2050658218006429,1,0.2852956754561154
EW,-0.0727523648468079,0.5607266939395099,1,-0.1297465692879182
FDX,0.3271781999653537,0.3364817535459642,0,0.9723504960296764
EOG,0.5782408614546884,0.4894324163894119,4,1.1814519065173994
FIS,-0.0867032732544397,0.2957718954535086,1,-0.2931423660841648
NSC,0.2503604656387183,0.265153337611575,0,0.9442101234474112
ICE,0.1501765932807043,0.2084969948283112,1,0.7202818122360402
CL,0.0660192110900832,0.167796682352117,1,0.3934476544151431
HCA,0.4351927251587266,0.3696588153426117,4,1.1772821507188351
BDX,0.0091666321673203,0.2242153280243348,1,0.0408831646261288
SO,0.1653761444036941,0.1989981603292424,1,0.8310435841722321
ITW,0.1330544168091431,0.2150741974820126,1,0.6186442556423856
CCI,0.1095396746470786,0.2401228806784433,1,0.4561817446866588
SHW,-0.0887410253669542,0.5253346193788865,1,-0.1689228581049437
