,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name,Returns,Variance,clusters,sharpe
JD,500.0,310.0,236.0,A,B,BB,JD.com Inc.,0.3557758755635592,0.5897666206785911,4.0,0.603248578487199
KHC,515.0,300.0,321.0,A,BB,BB,The Kraft Heinz Company,0.2237541882798109,0.2415363756467197,0.0,0.9263788432723786
LBTYA,550.0,310.0,353.0,A,BB,BB,Liberty Global plc,0.0483161868127655,0.294448830040736,1.0,0.1640902658912965
LRCX,545.0,310.0,324.0,A,BB,BB,Lam Research Corporation,0.4410921478579275,0.4395031855938469,4.0,1.0036153600614603
MAR,210.0,210.0,207.0,B,B,B,Marriott International,0.4684829568361581,0.4128459301552386,4.0,1.1347646243236522
MAT,215.0,305.0,301.0,B,BB,BB,Mattel Inc.,0.5885156187276556,0.3632159551831314,4.0,1.620291207832347
MDLZ,513.0,300.0,327.0,A,BB,BB,Mondelez International Inc.,0.1425123965035329,0.1755671746977917,1.0,0.8117257496957683
MNST,615.0,325.0,307.0,AA,BB,BB,Monster Beverage Corporation,0.2165724684726215,0.2493709845449172,0.0,0.8684750107068373
MSFT,415.0,205.0,232.0,BBB,B,B,Microsoft Corporation,0.2559927512542276,0.2657772474800677,0.0,0.9631853504443644
MU,535.0,310.0,308.0,A,BB,BB,Micron Technology Inc.,0.3048269682671702,0.4248979253690078,0.0,0.7174122302490403
NCLH,555.0,305.0,302.0,A,BB,BB,Norwegian Cruise Line Holdings Ltd.,0.4509634638132726,0.7623900786785449,4.0,0.5915127654794907
NTAP,535.0,315.0,346.0,A,BB,BB,NetApp Inc.,0.3567607063349926,0.3478069543195083,0.0,1.02574345309743
NTES,505.0,300.0,295.0,A,B,BB,NetEase Inc.,-0.0712983603044703,0.7692200288410587,1.0,-0.0926891625688577
NVDA,323.0,280.0,304.0,BB,BB,B,NVIDIA Corporation,0.2118523092829743,0.7194151003381383,4.0,0.2944785412252257
NXPI,525.0,305.0,331.0,A,BB,BB,NXP Semiconductors N.V.,0.3697408144419384,0.4086204261013202,4.0,0.9048515219115812
ORLY,500.0,300.0,300.0,A,BB,BB,'O''Reilly Automotive Inc.',0.2530395655834784,0.2392592194687253,0.0,1.0575958834328405
PAYX,505.0,320.0,341.0,A,BB,BB,Paychex Inc.,0.3471615288550949,0.2380964934895206,0.0,1.4580707332860177
PCAR,530.0,305.0,382.0,A,BB,BB,PACCAR Inc.,0.1303511995195068,0.2568451351915861,1.0,0.5075089291540414
PYPL,400.0,318.0,230.0,BBB,B,BB,PayPal Holdings Inc.,-0.063719947211535,0.457859681176846,1.0,-0.1391691599656784
QCOM,404.0,300.0,300.0,BBB,BB,BB,QUALCOMM Incorporated,0.3894580627437584,0.4065699394516817,4.0,0.957911603767359
REGN,525.0,300.0,301.0,A,BB,BB,Regeneron Pharmaceuticals Inc.,0.1422850246535389,0.2970345468838084,1.0,0.4790184379098398
ROST,385.0,300.0,304.0,BB,BB,BB,Ross Stores Inc.,0.1242272194558122,0.357943621574409,1.0,0.3470580615723806
SBAC,250.0,215.0,251.0,B,B,B,SBA Communications Corporation,0.1253286662424486,0.2550010182513978,1.0,0.4914830030948773
SBUX,515.0,303.0,335.0,A,BB,BB,Starbucks Corporation,0.0549251810655073,0.2684702945589867,1.0,0.2045856922671179
SIRI,240.0,205.0,301.0,B,BB,B,Sirius XM Holdings Inc.,0.064187138129924,0.293053820200962,1.0,0.2190284981984115
SRCL,575.0,300.0,319.0,A,BB,BB,Stericycle Inc.,0.0869677510012263,0.2999233253156123,1.0,0.2899666136660404
STX,515.0,315.0,310.0,A,BB,BB,Seagate Technology PLC,0.3529253183558359,0.3670442057566148,0.0,0.9615335505115126
SWKS,505.0,270.0,305.0,A,BB,B,Skyworks Solutions Inc.,0.1379967461536,0.3829219520696271,1.0,0.3603782583049925
TMUS,391.0,225.0,308.0,BB,BB,B,T-Mobile US Inc.,0.2019483393197856,0.2795016366795415,0.0,0.7225300778876174
TRIP,210.0,200.0,214.0,B,B,B,TripAdvisor Inc.,0.3525214241248482,0.6309196057859187,4.0,0.5587422246701659
TSCO,503.0,305.0,300.0,A,BB,BB,Tractor Supply Company,0.3799167132268024,0.2832698205258195,0.0,1.3411831607108098
TSLA,563.0,255.0,146.0,A,CC,B,Tesla Motors Inc.,0.6311777822964547,0.844197117998161,3.0,0.7476663552147186
TXN,500.0,300.0,300.0,A,BB,BB,Texas Instruments Incorporated,0.2553285877266066,0.2764608121169871,0.0,0.923561591863377
ULTA,200.0,205.0,228.0,B,B,B,Ulta Salon Cosmetics &amp; Fragrance Inc.,0.3789393863762653,0.3813900384589828,4.0,0.9935744203162218
VRSK,650.0,300.0,365.0,AA,BB,BB,Verisk Analytics Inc.,0.1673231298430299,0.2335728279708896,1.0,0.7163638480409353
VRTX,294.0,300.0,300.0,B,BB,BB,Vertex Pharmaceuticals Incorporated,0.0665943883469005,0.3127241475488744,1.0,0.212949300106391
WBA,510.0,300.0,301.0,A,BB,BB,Walgreens Boots Alliance Inc.,0.0516501755273802,0.323506028580113,1.0,0.1596575363806228
WDC,415.0,240.0,305.0,BBB,BB,B,Western Digital Corporation,0.2533383011027481,0.4625649119734442,0.0,0.5476816216386344
NLSN,540.0,300.0,300.0,A,BB,BB,Nielsen Holdings plc,0.4161169385202205,0.4489261314648438,4.0,0.926916277211204
PVH,363.0,350.0,326.0,BB,BB,BB,PVH Corp.,0.411180381867384,0.5743070089574581,4.0,0.7159591916069445
GPS,520.0,328.0,352.0,A,BB,BB,"The Gap, Inc.",0.4315145218191461,0.6404124751451251,4.0,0.6738071767283418
ALK,500.0,220.0,307.0,A,BB,B,"Alaska Air Group, Inc.",0.4443868743686944,0.5037282251329297,4.0,0.8821957003728041
PENN,341.0,210.0,323.0,BB,BB,B,"Penn National Gaming, Inc.",0.6774389459696795,0.7117065620323074,3.0,0.9518514822109052
DXC,510.0,308.0,355.0,A,BB,BB,DXC Technology Company,0.4070042998841732,0.5134654700601388,4.0,0.7926614808908251
VNO,535.0,310.0,318.0,A,BB,BB,Vornado Realty Trust,0.0821816157845411,0.4492279639025494,1.0,0.1829396706977233
UA,240.0,200.0,311.0,B,BB,B,"Under Armour, Inc.",0.3518951394324426,0.4625227545404663,4.0,0.7608169240928777
HII,560.0,310.0,319.0,A,BB,BB,"Huntington Ingalls Industries, Inc.",0.1268572504435345,0.2928258260732272,1.0,0.4332174253366956
IPGP,477.0,245.0,302.0,BBB,BB,B,IPG Photonics Corporation,-0.0241597503825895,0.4281194853654616,1.0,-0.0564322606385591
RL,405.0,305.0,262.0,BBB,B,BB,Ralph Lauren Corporation,0.2877855993347297,0.4510245448026113,0.0,0.6380708159922376
PNW,629.0,300.0,479.0,AA,BBB,BB,Pinnacle West Capital Corporation,0.0120975194519265,0.2410601989403255,1.0,0.05018464062133
AIZ,230.0,225.0,300.0,B,BB,B,"Assurant, Inc.",0.3346774483581289,0.2632236978463183,0.0,1.2714563737856477
ANET,414.0,285.0,308.0,BBB,BB,B,"Arista Networks, Inc.",0.0839096771929054,0.6494733313806152,1.0,0.1291964937413746
LW,348.0,305.0,251.0,BB,B,BB,"Lamb Weston Holdings, Inc.",0.1439740805039416,0.3889520688133334,1.0,0.3701589271480078
NRG,371.0,223.0,296.0,BB,B,B,"NRG Energy, Inc.",0.1033401338971109,0.3449589814888814,1.0,0.299572237403657
WYNN,205.0,205.0,201.0,B,B,B,"Wynn Resorts, Limited",0.0788161733828331,0.5461122304782826,1.0,0.1443223004066514
FRT,525.0,300.0,302.0,A,BB,BB,Federal Realty Investment Trust,0.2847320290494982,0.4067815042489557,0.0,0.6999630663522952
NWL,520.0,330.0,306.0,A,BB,BB,Newell Brands Inc.,0.3772935105088955,0.3557177779573123,4.0,1.0606540743492794
SEE,555.0,245.0,318.0,A,BB,B,Sealed Air Corporation,0.4738671971779421,0.2927590968408181,4.0,1.6186250138474705
