stock_symbol,esg_id,Name,exchange_symbol,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,total_grade,total_level,disclaimer,last_processing_date,environment_score,social_score,governance_score,total
UDR,7316,"UDR, Inc.",NYSE,B,Medium,BB,Medium,B,Medium,B,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",28-01-2022,220,304,230,754
BIO,978,"Bio-Rad Laboratories, Inc.",NYSE,B,Medium,B,Medium,BB,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",24-01-2022,285,227,300,812
CAG,1832,"Conagra Brands, Inc.",NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,505,300,300,1105
KMX,1365,"CarMax, Inc.",NYSE,B,Medium,B,Medium,BB,Medium,B,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",24-01-2022,234,238,305,777
CTRA,73967,Coterra Energy Inc.,NYSE,A,High,B,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",20-12-2021,500,282,300,1082
HOLX,3533,"Hologic, Inc.",NASDAQ,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,520,338,300,1158
CNP,1442,"CenterPoint Energy, Inc.",NYSE,A,High,BB,Medium,B,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",24-01-2022,550,310,260,1120
BXP,1113,"Boston Properties, Inc.",NYSE,A,High,BB,Medium,BB,Medium,A,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",24-01-2022,552,351,305,1208
DRI,2082,"Darden Restaurants, Inc.",NYSE,AA,Excellent,BB,Medium,BB,Medium,A,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,645,334,310,1289
CE,66704,Credito Emiliano,BIT,A,High,B,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",17-12-2021,500,251,300,1051
BRO,1182,"Brown & Brown, Inc.",NYSE,B,Medium,BB,Medium,BB,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",24-01-2022,295,303,300,898
BR,1169,"Broadridge Financial Solutions, Inc.",NYSE,A,High,BB,Medium,BB,Medium,A,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",24-01-2022,595,314,340,1249
NVR,5246,"NVR, Inc.",NYSE,B,Medium,B,Medium,B,Medium,B,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,275,200,205,680
VTRS,71714,Viatris Inc.,NASDAQ,BB,Medium,BB,Medium,BB,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",19-12-2021,356,301,300,957
ETSY,2584,"Etsy, Inc.",NASDAQ,B,Medium,B,Medium,B,Medium,B,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,227,215,200,642
TYL,7291,"Tyler Technologies, Inc.",NYSE,BB,Medium,BB,Medium,BB,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",28-01-2022,370,306,305,981
IP,3836,International Paper Company,NYSE,AA,Excellent,BB,Medium,BB,Medium,A,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,665,326,328,1319
SBNY,6445,Signature Bank,NASDAQ,B,Medium,B,Medium,B,Medium,B,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",27-01-2022,256,210,215,681
PAYC,5508,"Paycom Software, Inc.",NYSE,BBB,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",27-01-2022,456,305,315,1076
POOL,5704,Pool Corporation,NASDAQ,A,High,BB,Medium,BB,Medium,A,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",27-01-2022,593,370,310,1273
XYL,7853,Xylem Inc.,NYSE,BBB,High,B,Medium,B,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",28-01-2022,400,276,215,891
FLT,2823,"FLEETCOR Technologies, Inc.",NYSE,BB,Medium,B,Medium,BB,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,385,229,300,914
TTWO,6892,"Take-Two Interactive Software, Inc.",NASDAQ,B,Medium,BB,Medium,BB,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",27-01-2022,205,312,305,822
TER,6994,"Teradyne, Inc.",NASDAQ,BBB,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",27-01-2022,462,332,315,1109
CINF,1634,Cincinnati Financial Corporation,NASDAQ,B,Medium,B,Medium,B,Medium,B,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,225,274,250,749
CMS,1711,CMS Energy Corporation,NYSE,A,High,AA,Excellent,BB,Medium,A,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,550,667,325,1542
GPC,3064,Genuine Parts Company,NYSE,A,High,B,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,510,211,320,1041
PEAK,72140,"Healthpeak Properties, Inc.",NYSE,A,High,BB,Medium,BB,Medium,A,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",19-12-2021,535,331,335,1201
TDY,6957,Teledyne Technologies Incorporated,NYSE,A,High,BB,Medium,B,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",27-01-2022,500,300,298,1098
WAT,7655,Waters Corporation,NYSE,BB,Medium,BB,Medium,B,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",28-01-2022,320,304,240,864
EXPD,2645,"Expeditors International of Washington, Inc.",NASDAQ,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,510,302,300,1112
MGM,4706,MGM Resorts International,NYSE,A,High,BB,Medium,B,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,510,302,235,1047
PFG,5777,"Principal Financial Group, Inc.",NASDAQ,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",27-01-2022,540,320,300,1160
RCL,6180,Royal Caribbean Group,NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",27-01-2022,500,300,300,1100
JBHT,3950,"J.B. Hunt Transport Services, Inc.",NASDAQ,A,High,BB,Medium,BB,Medium,A,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,535,391,300,1226
COO,1878,"The Cooper Companies, Inc.",NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,500,300,300,1100
CLX,1703,The Clorox Company,NYSE,A,High,BB,Medium,BB,Medium,A,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,593,361,355,1309
VTR,7494,"Ventas, Inc.",NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",28-01-2022,500,301,300,1101
HPE,3485,Hewlett Packard Enterprise Company,NYSE,BBB,High,BB,Medium,B,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,410,311,250,971
VIAC,71689,ViacomCBS Inc.,NASDAQ,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",19-12-2021,500,322,310,1132
PKI,5568,"PerkinElmer, Inc.",NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",27-01-2022,520,314,325,1159
ESS,2577,"Essex Property Trust, Inc.",NYSE,BB,Medium,BB,Medium,B,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,377,304,210,891
RJF,5976,"Raymond James Financial, Inc.",NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",27-01-2022,500,309,305,1114
DRE,2261,Duke Realty Corporation,NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,513,306,300,1119
CCL,1367,Carnival Corporation & Plc,NYSE,A,High,BB,Medium,BB,Medium,A,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",24-01-2022,560,359,310,1229
STE,6722,STERIS plc,NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",27-01-2022,510,301,305,1116
MTB,4418,M&T Bank Corporation,NYSE,A,High,BB,Medium,B,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,500,300,280,1080
HBAN,3604,Huntington Bancshares Incorporated,NASDAQ,B,Medium,BB,Medium,B,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,243,300,285,828
RF,2585,Eurazeo SE,XPAR,BBB,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,455,302,300,1057
CFG,1658,"Citizens Financial Group, Inc.",NYSE,B,Medium,B,Medium,B,Medium,B,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,225,220,200,645
ETR,2505,Entergy Corporation,NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,515,306,310,1131
AEE,356,Ameren Corporation,NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",24-01-2022,522,362,300,1184
K,4066,Kellogg Company,NYSE,BB,Medium,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,315,380,323,1018
IR,3754,Ingersoll Rand Inc.,NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,525,314,310,1149
FE,2803,FirstEnergy Corp.,NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,505,303,300,1108
MAA,4725,"Mid-America Apartment Communities, Inc.",NYSE,B,Medium,B,Medium,B,Medium,B,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,285,261,210,756
PPL,5732,PPL Corporation,NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",27-01-2022,520,301,300,1121
IT,3003,"Gartner, Inc.",NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,540,303,300,1143
LYV,4350,"Live Nation Entertainment, Inc.",NYSE,BBB,High,BB,Medium,B,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,404,300,275,979
GRMN,3001,Garmin Ltd.,NASDAQ,B,Medium,B,Medium,B,Medium,B,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,212,200,200,612
VRSN,7508,"VeriSign, Inc.",NASDAQ,A,High,BB,Medium,BB,Medium,A,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",28-01-2022,575,348,305,1228
BBY,929,"Best Buy Co., Inc.",NYSE,BBB,High,B,Medium,BB,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",24-01-2022,465,229,305,999
URI,7377,"United Rentals, Inc.",NYSE,BBB,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",28-01-2022,497,309,300,1106
DTE,2253,DTE Energy Company,NYSE,A,High,BB,Medium,B,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,557,310,210,1077
KEY,4092,KeyCorp,NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,515,308,300,1123
MLM,4533,"Martin Marietta Materials, Inc.",NYSE,A,High,B,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,573,273,300,1146
FANG,2166,"Diamondback Energy, Inc.",NASDAQ,BB,Medium,B,Medium,BB,Medium,BB,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,393,263,320,976
EIX,2361,Edison International,NYSE,AA,Excellent,A,High,BB,Medium,A,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,700,573,315,1588
HIG,3400,"The Hartford Financial Services Group, Inc.",NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,500,305,305,1110
NTRS,5167,Northern Trust Corporation,NASDAQ,B,Medium,B,Medium,B,Medium,B,Medium,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",26-01-2022,265,224,225,714
ALB,239,Albemarle Corporation,NYSE,A,High,BB,Medium,BB,Medium,BBB,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",24-01-2022,545,345,305,1195
CHD,1615,"Church & Dwight Co., Inc.",NYSE,A,High,BB,Medium,BB,Medium,A,High,"ESG Enterprise's ESG Rating data (""Scores"") are all based on public information and provided for informational purposes only. No member of ESG Enterprise or related parties make any prediction, warranty or representation whatsoever, expressly or impliedly, either as to the suitability of our Scores for any particular purposes or the validity of any derivative analysis or conclusion based on the Scores.",25-01-2022,568,341,348,1257
