,environment_score,governance_score,social_score,environment_grade,social_grade,governance_grade,Name,Returns,Variance,clusters,sharpe
AAPL,355.0,255.0,275.0,BB,B,B,Apple Inc.,0.0420869062819425,0.6084818548253241,1.0,0.06916706874360998
ADBE,240.0,210.0,200.0,B,B,B,Adobe Systems Incorporated,0.1221542705163657,0.34245584908525345,1.0,0.35670078593388466
ADSK,560.0,310.0,331.0,A,BB,BB,Autodesk Inc.,0.09928710830224985,0.3661045546204897,1.0,0.27119877928088765
AKAM,580.0,375.0,353.0,A,BB,BB,Akamai Technologies Inc.,0.10678523728080629,0.2686299372544976,1.0,0.3975180070106591
AMGN,527.0,300.0,355.0,A,BB,BB,Amgen Inc.,0.03246447917395278,0.2349787713557651,1.0,0.13815920045305097
AMZN,658.0,305.0,303.0,AA,BB,BB,Amazon.com Inc.,0.09230157468312714,0.3368926529791674,1.0,0.27397918555628115
ATVI,280.0,300.0,331.0,B,BB,BB,Activision Blizzard Inc,0.11957395309219021,0.34257630060522554,1.0,0.3490432726401106
BIIB,390.0,328.0,320.0,BB,BB,BB,Biogen Inc.,-0.03901335358930929,0.5548073425378125,1.0,-0.07031874057551854
BMRN,525.0,305.0,304.0,A,BB,BB,BioMarin Pharmaceutical Inc.,0.03922882751595663,0.40572693405804705,1.0,0.09668775775764543
CHKP,545.0,300.0,310.0,A,BB,BB,Check Point Software Technologies Ltd.,0.13142120308713415,0.25271743962587223,1.0,0.520032188050388
CHTR,500.0,300.0,300.0,A,BB,BB,Charter Communications Inc.,-0.05839063615411604,0.26294502896029626,1.0,-0.22206404275827862
CMCSA,505.0,310.0,356.0,A,BB,BB,Comcast Corporation,0.07847813194610273,0.2511794628409198,1.0,0.31243848943098307
CSCO,235.0,210.0,239.0,B,B,B,Cisco Systems Inc.,0.11419402142980822,0.24073243901497526,1.0,0.47436075460816707
CSX,545.0,308.0,315.0,A,BB,BB,CSX Corporation,-0.0580319469314969,0.5403463822897862,1.0,-0.107397678292171
CTXS,555.0,305.0,328.0,A,BB,BB,Citrix Systems Inc.,-0.1379545499524355,0.3225817641130669,1.0,-0.4276576214149588
DISH,210.0,205.0,257.0,B,B,B,DISH Network Corporation,0.18112933554151694,0.4154747730712627,1.0,0.43595748113074834
EA,395.0,225.0,303.0,BB,BB,B,Electronic Arts Inc.,0.03985367463861463,0.26256178750756204,1.0,0.15178779447282217
ENDP,500.0,312.0,300.0,A,BB,BB,Endo International plc,-0.021354909162865476,0.8478064143221956,1.0,-0.025188426039378698
FB,520.0,305.0,281.0,A,B,BB,Facebook Inc.,0.07889649760061478,0.4193229218301512,1.0,0.18815212213123944
FISV,400.0,300.0,300.0,BBB,BB,BB,Fiserv Inc.,0.022885646733806757,0.28622277575070937,1.0,0.07995746206353405
GILD,500.0,300.0,303.0,A,BB,BB,Gilead Sciences Inc.,-0.12871327777512415,0.21366734835271123,1.0,-0.6024003141680346
ILMN,500.0,300.0,303.0,A,BB,BB,Illumina Inc.,0.05519432881192996,0.38663895161767614,1.0,0.14275418599445275
INCY,505.0,300.0,312.0,A,BB,BB,Incyte Corporation,-0.09751658305145883,0.3227308966671928,1.0,-0.30216066716419804
INTC,350.0,465.0,325.0,BB,BB,BBB,Intel Corporation,-0.08470292880526621,0.3382004153191389,1.0,-0.25045187695981175
ISRG,530.0,281.0,262.0,A,B,B,Intuitive Surgical Inc.,-0.10481122270116641,0.5762282464813975,1.0,-0.18189185160771196
LBTYA,550.0,310.0,353.0,A,BB,BB,Liberty Global plc,0.048316186812765546,0.294448830040736,1.0,0.1640902658912965
