timestamp,ETHUSD,BTCUSD
2020-08-16 00:00:00+00:00,422.55,11813.02
2020-08-17 00:00:00+00:00,428.52,12253.11
2020-08-18 00:00:00+00:00,412.31,11763.71
2020-08-19 00:00:00+00:00,407.59,11758.87
2020-08-20 00:00:00+00:00,415.28,11871.94
2020-08-21 00:00:00+00:00,388.05,11529.22
2020-08-22 00:00:00+00:00,389.27,11609.35
2020-08-23 00:00:00+00:00,392.59,11679.94
2020-08-24 00:00:00+00:00,402.06,11682.61
2020-08-25 00:00:00+00:00,385.07,11324.92
2020-08-26 00:00:00+00:00,383.03,11370.01
2020-08-27 00:00:00+00:00,388.2,11330.06
2020-08-28 00:00:00+00:00,395.47,11535.0
2020-08-29 00:00:00+00:00,403.92,11585.32
2020-08-30 00:00:00+00:00,424.59,11663.57
2020-08-31 00:00:00+00:00,445.52,11699.48
2020-09-01 00:00:00+00:00,475.57,11872.62
2020-09-02 00:00:00+00:00,435.43,11292.89
2020-09-03 00:00:00+00:00,382.87,10172.52
2020-09-04 00:00:00+00:00,385.1,10419.14
2020-09-05 00:00:00+00:00,335.25,10168.36
2020-09-06 00:00:00+00:00,346.32,10171.8
2020-09-07 00:00:00+00:00,353.71,10271.99
2020-09-08 00:00:00+00:00,337.48,10125.69
2020-09-09 00:00:00+00:00,373.13,10224.56
2020-09-10 00:00:00+00:00,368.06,10343.23
2020-09-11 00:00:00+00:00,370.96,10363.76
2020-09-12 00:00:00+00:00,386.43,10446.52
2020-09-13 00:00:00+00:00,364.56,10349.29
2020-09-14 00:00:00+00:00,377.28,10733.89
2020-09-15 00:00:00+00:00,361.86,10783.75
2020-09-16 00:00:00+00:00,378.96,10910.44
2020-09-17 00:00:00+00:00,389.45,10906.1
2020-09-18 00:00:00+00:00,384.64,10937.52
2020-09-19 00:00:00+00:00,381.69,10969.32
2020-09-20 00:00:00+00:00,373.97,10960.12
2020-09-21 00:00:00+00:00,340.11,10416.82
2020-09-22 00:00:00+00:00,339.91,10531.13
2020-09-23 00:00:00+00:00,324.1,10278.41
2020-09-24 00:00:00+00:00,344.69,10675.81
2020-09-25 00:00:00+00:00,352.2,10690.53
2020-09-26 00:00:00+00:00,354.13,10788.0
2020-09-27 00:00:00+00:00,358.69,10896.85
2020-09-28 00:00:00+00:00,352.98,10695.55
2020-09-29 00:00:00+00:00,355.88,10748.95
2020-09-30 00:00:00+00:00,362.58,10806.01
2020-10-01 00:00:00+00:00,351.31,10617.63
2020-10-02 00:00:00+00:00,345.7,10573.12
2020-10-03 00:00:00+00:00,346.76,10570.74
2020-10-04 00:00:00+00:00,351.37,10671.11
2020-10-05 00:00:00+00:00,354.21,10769.19
2020-10-06 00:00:00+00:00,338.33,10602.66
2020-10-07 00:00:00+00:00,341.68,10634.01
2020-10-08 00:00:00+00:00,349.34,10933.09
2020-10-09 00:00:00+00:00,375.75,11057.07
2020-10-10 00:00:00+00:00,370.75,11299.5
2020-10-11 00:00:00+00:00,374.08,11386.26
2020-10-12 00:00:00+00:00,384.24,11483.54
2020-10-13 00:00:00+00:00,381.37,11396.64
2020-10-14 00:00:00+00:00,377.31,11399.32
2020-10-15 00:00:00+00:00,369.04,11509.34
2020-10-16 00:00:00+00:00,365.57,11328.95
2020-10-17 00:00:00+00:00,368.48,11367.89
2020-10-18 00:00:00+00:00,373.82,11445.49
2020-10-19 00:00:00+00:00,378.65,11728.52
2020-10-20 00:00:00+00:00,381.51,12289.75
2020-10-21 00:00:00+00:00,391.53,12762.58
2020-10-22 00:00:00+00:00,414.7,12987.02
2020-10-23 00:00:00+00:00,409.52,12937.09
2020-10-24 00:00:00+00:00,412.58,13321.5
2020-10-25 00:00:00+00:00,408.25,13120.01
2020-10-26 00:00:00+00:00,394.73,13134.99
2020-10-27 00:00:00+00:00,405.89,13756.03
2020-10-28 00:00:00+00:00,390.73,13243.94
2020-10-29 00:00:00+00:00,387.6,13435.46
2020-10-30 00:00:00+00:00,383.63,13571.51
2020-10-31 00:00:00+00:00,386.51,13804.81
2020-11-01 00:00:00+00:00,398.54,13700.62
2020-11-02 00:00:00+00:00,383.33,13374.56
2020-11-03 00:00:00+00:00,383.74,13804.32
2020-11-04 00:00:00+00:00,403.5,14330.88
2020-11-05 00:00:00+00:00,431.86,15608.21
2020-11-06 00:00:00+00:00,456.65,15579.9
2020-11-07 00:00:00+00:00,435.85,14834.09
2020-11-08 00:00:00+00:00,453.89,15484.52
2020-11-09 00:00:00+00:00,449.95,15342.25
2020-11-10 00:00:00+00:00,460.19,15315.03
2020-11-11 00:00:00+00:00,460.95,15763.99
2020-11-12 00:00:00+00:00,460.94,16310.81
2020-11-13 00:00:00+00:00,477.14,16180.01
2020-11-14 00:00:00+00:00,461.46,16082.01
2020-11-15 00:00:00+00:00,452.01,16125.97
2020-11-16 00:00:00+00:00,463.72,16634.0
2020-11-17 00:00:00+00:00,470.56,17639.68
2020-11-18 00:00:00+00:00,478.96,17782.91
2020-11-19 00:00:00+00:00,485.13,17821.58
2020-11-20 00:00:00+00:00,510.43,18672.97
2020-11-21 00:00:00+00:00,543.85,18526.4
2020-11-22 00:00:00+00:00,581.18,18462.33
2020-11-23 00:00:00+00:00,609.26,18350.13
2020-11-24 00:00:00+00:00,605.45,19172.84
2020-11-25 00:00:00+00:00,529.03,17929.59
2020-11-26 00:00:00+00:00,520.34,17170.0
2020-11-27 00:00:00+00:00,513.49,17153.95
2020-11-28 00:00:00+00:00,541.54,17739.85
2020-11-29 00:00:00+00:00,583.2,18539.96
2020-11-30 00:00:00+00:00,608.78,19490.88
2020-12-01 00:00:00+00:00,586.03,18782.97
2020-12-02 00:00:00+00:00,588.49,18929.44
2020-12-03 00:00:00+00:00,603.89,19214.37
2020-12-04 00:00:00+00:00,567.6,18658.1
2020-12-05 00:00:00+00:00,597.29,19164.97
2020-12-06 00:00:00+00:00,596.46,19375.6
2020-12-07 00:00:00+00:00,595.42,19177.71
2020-12-08 00:00:00+00:00,548.16,18206.88
2020-12-09 00:00:00+00:00,573.38,18372.25
2020-12-10 00:00:00+00:00,544.28,17893.77
2020-12-11 00:00:00+00:00,544.23,18042.15
2020-12-12 00:00:00+00:00,569.55,18861.16
2020-12-13 00:00:00+00:00,585.17,19166.65
2020-12-14 00:00:00+00:00,582.71,19138.66
2020-12-15 00:00:00+00:00,584.19,19380.01
2020-12-16 00:00:00+00:00,648.19,22295.76
2020-12-17 00:00:00+00:00,643.37,22826.48
2020-12-18 00:00:00+00:00,653.23,22989.49
2020-12-19 00:00:00+00:00,658.96,23849.99
2020-12-20 00:00:00+00:00,641.71,23913.91
2020-12-21 00:00:00+00:00,608.07,22685.35
2020-12-22 00:00:00+00:00,614.88,23823.27
2020-12-23 00:00:00+00:00,585.11,23228.35
2020-12-24 00:00:00+00:00,612.27,23593.01
2020-12-25 00:00:00+00:00,626.68,24705.29
2020-12-26 00:00:00+00:00,645.49,26879.01
2020-12-27 00:00:00+00:00,713.0,26258.65
2020-12-28 00:00:00+00:00,705.96,26407.17
2020-12-29 00:00:00+00:00,731.76,28007.56
2020-12-30 00:00:00+00:00,752.86,28988.0
2020-12-31 00:00:00+00:00,742.02,29240.79
2021-01-01 00:00:00+00:00,734.62,29683.03
2021-01-02 00:00:00+00:00,787.32,33779.48
2021-01-03 00:00:00+00:00,1088.78,32903.87
2021-01-04 00:00:00+00:00,1042.38,30460.19
2021-01-05 00:00:00+00:00,1103.73,35130.05
2021-01-06 00:00:00+00:00,1212.02,37505.58
2021-01-07 00:00:00+00:00,1148.89,38000.87
2021-01-08 00:00:00+00:00,1217.35,40665.15
2021-01-09 00:00:00+00:00,1319.09,40571.12
2021-01-10 00:00:00+00:00,1091.91,34847.17
2021-01-11 00:00:00+00:00,1088.79,35461.96
2021-01-12 00:00:00+00:00,1050.1,34038.98
2021-01-13 00:00:00+00:00,1110.49,37546.15
2021-01-14 00:00:00+00:00,1184.71,37800.01
2021-01-15 00:00:00+00:00,1168.1,36754.67
2021-01-16 00:00:00+00:00,1215.98,36006.94
2021-01-17 00:00:00+00:00,1207.72,35334.39
2021-01-18 00:00:00+00:00,1323.55,36297.36
2021-01-19 00:00:00+00:00,1368.04,35504.84
2021-01-20 00:00:00+00:00,1305.92,34563.12
2021-01-21 00:00:00+00:00,1110.62,30855.95
2021-01-22 00:00:00+00:00,1233.6,32984.93
2021-01-23 00:00:00+00:00,1326.08,32865.87
2021-01-24 00:00:00+00:00,1441.87,33356.55
2021-01-25 00:00:00+00:00,1317.97,32090.1
2021-01-26 00:00:00+00:00,1286.15,31551.72
2021-01-27 00:00:00+00:00,1240.96,30407.13
2021-01-28 00:00:00+00:00,1305.38,33052.81
2021-01-29 00:00:00+00:00,1379.87,34262.11
2021-01-30 00:00:00+00:00,1351.69,34315.63
2021-01-31 00:00:00+00:00,1322.0,33800.0
2021-02-01 00:00:00+00:00,1389.48,34022.03
2021-02-02 00:00:00+00:00,1545.34,36524.72
2021-02-03 00:00:00+00:00,1657.11,37632.75
2021-02-04 00:00:00+00:00,1597.55,36975.0
2021-02-05 00:00:00+00:00,1662.98,39056.37
2021-02-06 00:00:00+00:00,1616.61,39265.43
2021-02-07 00:00:00+00:00,1609.02,38701.98
2021-02-08 00:00:00+00:00,1745.7,46448.1
2021-02-09 00:00:00+00:00,1801.61,46514.73
2021-02-10 00:00:00+00:00,1742.93,44850.0
2021-02-11 00:00:00+00:00,1762.42,47300.88
2021-02-12 00:00:00+00:00,1845.0,47408.34
2021-02-13 00:00:00+00:00,1818.01,47232.45
2021-02-14 00:00:00+00:00,1725.58,46785.73
2021-02-15 00:00:00+00:00,1779.62,49163.27
2021-02-16 00:00:00+00:00,1748.16,49737.0
2021-02-17 00:00:00+00:00,1901.08,52170.01
2021-02-18 00:00:00+00:00,1914.13,51491.52
2021-02-19 00:00:00+00:00,2015.0,55714.44
2021-02-20 00:00:00+00:00,1915.46,55923.52
2021-02-21 00:00:00+00:00,1869.16,55899.97
2021-02-22 00:00:00+00:00,1620.88,49975.25
2021-02-23 00:00:00+00:00,1577.83,48899.99
2021-02-24 00:00:00+00:00,1625.3,49737.82
2021-02-25 00:00:00+00:00,1449.78,45527.11
2021-02-26 00:00:00+00:00,1505.36,46326.2
2021-02-27 00:00:00+00:00,1363.96,44804.85
2021-02-28 00:00:00+00:00,1435.52,45231.75
2021-03-01 00:00:00+00:00,1571.82,49639.4
2021-03-02 00:00:00+00:00,1545.93,48511.6
2021-03-03 00:00:00+00:00,1562.75,50360.0
2021-03-04 00:00:00+00:00,1472.32,47229.98
2021-03-05 00:00:00+00:00,1574.32,48481.65
2021-03-06 00:00:00+00:00,1664.27,49366.61
2021-03-07 00:00:00+00:00,1751.71,50815.72
2021-03-08 00:00:00+00:00,1842.71,54288.08
2021-03-09 00:00:00+00:00,1801.32,53674.27
2021-03-10 00:00:00+00:00,1795.37,55890.69
2021-03-11 00:00:00+00:00,1810.21,57160.98
2021-03-12 00:00:00+00:00,1771.4,56731.11
2021-03-13 00:00:00+00:00,1897.19,61178.5
2021-03-14 00:00:00+00:00,1862.45,59754.48
2021-03-15 00:00:00+00:00,1750.21,55636.15
2021-03-16 00:00:00+00:00,1771.88,55587.32
2021-03-17 00:00:00+00:00,1830.7,58925.54
2021-03-18 00:00:00+00:00,1783.14,57887.82
2021-03-19 00:00:00+00:00,1809.38,58039.66
2021-03-20 00:00:00+00:00,1770.4,56921.67
2021-03-21 00:00:00+00:00,1787.9,57610.01
2021-03-22 00:00:00+00:00,1694.82,54461.43
2021-03-23 00:00:00+00:00,1676.93,54106.54
2021-03-24 00:00:00+00:00,1573.73,52239.64
2021-03-25 00:00:00+00:00,1587.08,51325.01
2021-03-26 00:00:00+00:00,1697.14,55072.44
2021-03-27 00:00:00+00:00,1718.93,55856.53
2021-03-28 00:00:00+00:00,1696.03,55324.04
2021-03-29 00:00:00+00:00,1802.29,57613.48
2021-03-30 00:00:00+00:00,1825.99,58740.77
2021-03-31 00:00:00+00:00,1916.97,58922.22
2021-04-01 00:00:00+00:00,1994.51,58726.48
2021-04-02 00:00:00+00:00,2099.35,59401.81
2021-04-03 00:00:00+00:00,2009.25,57094.34
2021-04-04 00:00:00+00:00,2023.54,57307.92
2021-04-05 00:00:00+00:00,2123.45,58775.23
2021-04-06 00:00:00+00:00,2090.5,57645.47
2021-04-07 00:00:00+00:00,2018.1,55955.75
2021-04-08 00:00:00+00:00,2075.72,58083.1
2021-04-09 00:00:00+00:00,2188.77,60951.61
2021-04-10 00:00:00+00:00,2133.08,59778.6
2021-04-11 00:00:00+00:00,2150.02,60088.62
2021-04-12 00:00:00+00:00,2163.14,60571.22
2021-04-13 00:00:00+00:00,2373.02,64303.77
2021-04-14 00:00:00+00:00,2432.54,62971.8
2021-04-15 00:00:00+00:00,2425.52,61712.36
2021-04-16 00:00:00+00:00,2426.64,61427.27
2021-04-17 00:00:00+00:00,2159.34,54986.39
2021-04-18 00:00:00+00:00,2241.46,56274.41
2021-04-19 00:00:00+00:00,2143.53,55353.73
2021-04-20 00:00:00+00:00,2332.6,56499.29
2021-04-21 00:00:00+00:00,2446.18,54279.41
2021-04-22 00:00:00+00:00,2208.28,49138.85
2021-04-23 00:00:00+00:00,2370.05,51187.27
2021-04-24 00:00:00+00:00,2192.49,49699.42
2021-04-25 00:00:00+00:00,2455.16,52360.47
2021-04-26 00:00:00+00:00,2510.01,54053.6
2021-04-27 00:00:00+00:00,2633.83,54894.13
2021-04-28 00:00:00+00:00,2683.47,53625.09
2021-04-29 00:00:00+00:00,2768.76,54178.29
2021-04-30 00:00:00+00:00,2846.44,57798.77
2021-05-01 00:00:00+00:00,2948.92,57859.28
2021-05-02 00:00:00+00:00,3053.41,57850.71
2021-05-03 00:00:00+00:00,3351.12,55856.8
2021-05-04 00:00:00+00:00,3240.01,54573.94
2021-05-05 00:00:00+00:00,3529.97,57008.23
2021-05-06 00:00:00+00:00,3423.73,55882.93
2021-05-07 00:00:00+00:00,3567.69,58126.74
2021-05-08 00:00:00+00:00,3917.26,58211.21
2021-05-09 00:00:00+00:00,4098.0,59230.42
2021-05-10 00:00:00+00:00,3949.45,55379.8
2021-05-11 00:00:00+00:00,4306.0,57425.24
2021-05-12 00:00:00+00:00,3907.51,50477.63
2021-05-13 00:00:00+00:00,3719.23,49690.11
2021-05-14 00:00:00+00:00,4007.83,49368.92
2021-05-15 00:00:00+00:00,3797.88,48118.82
2021-05-16 00:00:00+00:00,3327.69,43538.88
2021-05-17 00:00:00+00:00,3283.32,43580.5
2021-05-18 00:00:00+00:00,2922.4,39258.21
2021-05-19 00:00:00+00:00,2443.91,36731.75
2021-05-20 00:00:00+00:00,2784.49,40623.33
2021-05-21 00:00:00+00:00,2434.86,37340.77
2021-05-22 00:00:00+00:00,2287.66,37235.63
2021-05-23 00:00:00+00:00,2107.27,34758.67
2021-05-24 00:00:00+00:00,2651.24,38878.56
2021-05-25 00:00:00+00:00,2707.56,39438.27
2021-05-26 00:00:00+00:00,2707.9,39293.23
2021-05-27 00:00:00+00:00,2657.47,37354.37
2021-05-28 00:00:00+00:00,2470.17,35680.47
2021-05-29 00:00:00+00:00,2299.17,34627.82
2021-05-30 00:00:00+00:00,2313.8,34499.57
2021-05-31 00:00:00+00:00,2637.46,36753.45
2021-06-01 00:00:00+00:00,2634.42,36666.01
2021-06-02 00:00:00+00:00,2765.13,37970.64
2021-06-03 00:00:00+00:00,2723.31,37583.24
2021-06-04 00:00:00+00:00,2690.68,36856.52
2021-06-05 00:00:00+00:00,2629.75,35539.49
2021-06-06 00:00:00+00:00,2769.72,36268.91
2021-06-07 00:00:00+00:00,2502.02,32869.08
2021-06-08 00:00:00+00:00,2458.29,32990.37
2021-06-09 00:00:00+00:00,2611.27,36813.86
2021-06-10 00:00:00+00:00,2478.95,36694.05
2021-06-11 00:00:00+00:00,2283.6,35250.26
2021-06-12 00:00:00+00:00,2343.38,35195.09
2021-06-13 00:00:00+00:00,2490.44,39283.74
2021-06-14 00:00:00+00:00,2634.45,40530.39
2021-06-15 00:00:00+00:00,2532.25,40271.81
2021-06-16 00:00:00+00:00,2426.3,38811.19
2021-06-17 00:00:00+00:00,2358.34,37935.17
2021-06-18 00:00:00+00:00,2234.47,35841.81
2021-06-19 00:00:00+00:00,2207.26,35798.24
2021-06-20 00:00:00+00:00,2122.16,34229.08
2021-06-21 00:00:00+00:00,1967.25,32918.54
2021-06-22 00:00:00+00:00,1881.65,32538.37
2021-06-23 00:00:00+00:00,1968.37,33688.35
2021-06-24 00:00:00+00:00,1977.19,34774.0
2021-06-25 00:00:00+00:00,1834.18,31594.63
2021-06-26 00:00:00+00:00,1829.17,32275.19
2021-06-27 00:00:00+00:00,1973.24,34354.83
2021-06-28 00:00:00+00:00,2083.79,34871.31
2021-06-29 00:00:00+00:00,2095.66,34763.8
2021-06-30 00:00:00+00:00,2209.7,34338.21
2021-07-01 00:00:00+00:00,2107.01,33516.11
2021-07-02 00:00:00+00:00,2156.0,33805.02
2021-07-03 00:00:00+00:00,2225.2,34783.0
2021-07-04 00:00:00+00:00,2264.84,34210.23
2021-07-05 00:00:00+00:00,2317.65,34660.65
2021-07-06 00:00:00+00:00,2393.09,34720.25
2021-07-07 00:00:00+00:00,2243.15,33317.51
2021-07-08 00:00:00+00:00,2142.05,32875.95
2021-07-09 00:00:00+00:00,2107.93,33649.77
2021-07-10 00:00:00+00:00,2093.24,33472.51
2021-07-11 00:00:00+00:00,2148.32,34308.38
2021-07-12 00:00:00+00:00,2022.75,33127.35
2021-07-13 00:00:00+00:00,1891.57,31942.23
